City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
241,saint-pierre,-21.3393,55.4781,26.82,78,0,6.69,RE,1707680128
242,georgetown,5.4112,100.3354,27.96,76,20,4.12,MY,1707680041
243,amursk,50.2261,136.8994,-16.92,96,100,4.77,RU,1707680129
244,el jadid,33.2549,-8.506,16.7,89,16,3.69,MA,1707680129
245,port-vila,-17.7338,168.3219,26.82,83,12,2.13,VU,1707680129
246,floro,61.5996,5.0328,5.04,65,0,6.69,NO,1707680121
247,mairi,-11.7114,-40.1489,23.77,83,100,4.6,BR,1707680129
248,alenquer,-1.9417,-54.7383,29.77,66,83,3.1,BR,1707680130
249,sitka,57.0531,-135.33,5.94,70,75,4.63,US,1707680130
250,xilin hot,43.9667,116.0333,-6.09,75,0,7.15,CN,1707680130
251,sinabang,2.4803,96.3801,26.63,83,8,0.38,ID,1707680130
252,machico,32.7,-16.7667,21.67,86,40,1.54,PT,1707680130
253,iquique,-20.2208,-70.1431,25.02,74,100,4.21,CL,1707680039
254,greenville,35.6127,-77.3663,22.09,85,100,2.57,US,1707680060
255,albu kamal,34.45,40.9186,15.27,53,0,1.44,SY,1707680131
256,visby,57.6409,18.296,0.58,93,75,6.17,SE,1707680131
257,vorgashor,67.5833,63.95,-31.8,100,100,1.85,RU,1707680131
258,inskoy,54.4297,86.44,-16.2,93,60,4.54,RU,1707680131
259,balabac,7.9868,117.0645,26.74,79,100,8.8,PH,1707680131
260,camapua,-19.5314,-54.0439,30.07,58,100,0.37,BR,1707680131
261,albertville,34.2676,-86.2089,16.97,93,100,1.54,US,1707680131
262,lawas,13.764,121.0566,22.98,77,12,6.24,PH,1707680132
263,kailua-kona,19.6406,-155.9956,26.27,74,0,1.54,US,1707680132
264,crixas,-14.5489,-49.9692,21.07,96,100,3.31,BR,1707680132
265,gangawati,15.4333,76.5333,23.17,51,10,4.04,IN,1707680132
266,nelson,-41.2833,173.2833,15.16,77,49,1.63,NZ,1707680132
267,pisco,-13.7,-76.2167,28.03,65,0,9.26,PE,1707680132
268,hakha,22.65,93.6167,7.11,47,52,0.88,MM,1707680132
269,joshimath,30.5667,79.5667,-0.94,44,3,7.06,IN,1707680132
270,alofi,-19.0595,-169.9187,28.94,84,100,3.6,NU,1707680133
271,grabow,53.2833,11.5667,5.52,98,100,1.21,DE,1707680133
272,zyryanskoye,56.8306,86.6258,-16.1,91,100,5.01,RU,1707680133
273,mananara,-16.1667,49.7667,24.51,95,100,1.82,MG,1707680133
274,calvinia,-31.4707,19.776,27.4,17,0,1.34,ZA,1707680133
275,kruisfontein,-34.0033,24.7314,21.05,83,25,5.77,ZA,1707680133
276,bambari,5.768,20.6757,31.46,21,68,1.03,CF,1707680133
277,mandera,3.9366,41.867,31.14,27,10,4.45,KE,1707680134
278,nova sintra,14.8667,-24.7167,20.97,75,0,3.81,CV,1707680097
279,port isabel,26.0734,-97.2086,26.05,78,75,3.6,US,1707680101
280,murghob,38.1702,73.9667,-18.5,67,50,2.7,TJ,1707679985
281,vila franca do campo,37.7167,-25.4333,18.27,99,51,7.31,PT,1707680139
282,umluj,25.0213,37.2685,21.85,25,0,7.61,SA,1707680139
283,rongelap,11.1635,166.8941,26.1,80,87,10.44,MH,1707680139
284,ghat,24.9647,10.1728,21.6,9,7,3.19,LY,1707680140
285,phan rang-thap cham,11.5667,108.9833,19.49,93,69,1.8,VN,1707680140
286,broken hill,-31.95,141.4333,25.49,39,0,4.49,AU,1707680140
287,saint-francois,46.4154,3.9054,8.69,78,100,4.12,FR,1707680140
288,nellore,14.4333,79.9667,21.85,83,41,1.1,IN,1707680140
289,prattville,32.464,-86.4597,21.72,80,100,3.6,US,1707680140
290,chernyshevskiy,63.0128,112.4714,-28.82,98,100,2.7,RU,1707679995
291,minab,27.1467,57.0801,18.27,83,69,0.34,IR,1707680140
292,dolbeau-mistassini,48.8763,-72.212,-0.64,90,100,4.07,CA,1707679948
293,pionerskiy,54.9508,20.2275,2.91,97,100,7.7,RU,1707680141
294,chibougamau,49.9168,-74.3659,-8.21,79,100,3.6,CA,1707680141
295,prairie grove,35.9759,-94.3177,7.84,71,100,2.57,US,1707680066
